experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
fewshot,patchcore,carpet,5,0,0.9775280898876405,0.9939213435150465,0.9871153068598313,0.5581059392157783,0.9184074668661834,0.59650814614495,0.42501717733985245,0.0055733149635592266,0.4697587788105011,0.7738600033917464,1.0678985383850124,2.5,0.3798884451389313,0.5873665809631348
fewshot,patchcore-coreset,carpet,5,0,0.963884430176565,0.9903111411598801,0.9847357533534448,0.5469838642502147,0.8189350892305658,0.5887272466676222,0.4171604994693519,0.006167076939273649,0.4987665116786957,1.0119919970748015,0.3666503928401746,0.25,0.4491555690765381,0.6072078943252563
fewshot,prototype-only,carpet,5,0,0.9867576243980738,0.9962176157658182,0.9880735107166304,0.5291532752078031,0.8237586911255484,0.5705232304828297,0.39911332779163206,0.0013106318047289925,7.92421817779541,1925.758716002747,1.0367352905375764,0.1259765625,5.856169700622559,10.684924125671387
fewshot,ppm-ad-full,carpet,5,0,0.9855537720706259,0.995684938173108,0.9862832848115244,0.4929373379727387,0.9039927454881327,0.5267643142476698,0.35755603759942156,0.007840058728586844,7.422386169433594,1696.3841660035541,2.34360777764008,0.1259765625,5.564699649810791,9.556599617004395
fewshot,patchcore,carpet,5,1,0.9803370786516854,0.9947600989252734,0.987771099353917,0.6044018423225597,0.7984508940028858,0.6047397989669036,0.43342438816726386,0.0013142673967845918,0.48685336112976074,0.6361039995681494,0.4277354529556325,2.5,0.397076278924942,0.6052684783935547
fewshot,patchcore-coreset,carpet,5,1,0.9514446227929373,0.9864121446257534,0.9854008290890249,0.5954979003551154,0.8691580170915302,0.5992943640337276,0.427851754605318,0.006157790758264656,0.5114452242851257,0.5482259948621504,0.35526870997895243,0.25,0.45567575097084045,0.6215781569480896
fewshot,prototype-only,carpet,5,1,0.9823434991974317,0.9952834678955426,0.9882481553762874,0.634336790129412,0.9135388409549088,0.6088559131449133,0.4376656012112546,0.012412669269694117,8.182860374450684,1683.885131002171,0.9951148205536267,0.1259765625,5.491386413574219,10.674286842346191
fewshot,ppm-ad-full,carpet,5,1,0.9795345104333868,0.9945955845863249,0.9875594540705713,0.6129948689489431,0.8549432078406876,0.588511589307052,0.41694397548622564,0.0019857556437262733,7.323936462402344,1639.6341460058466,2.2681673160857625,0.1259765625,4.886913776397705,9.878960609436035
fewshot,patchcore,carpet,5,2,0.9686998394863562,0.9912167360800999,0.9854949572626045,0.576014770689489,0.8704445946138688,0.5769103659665956,0.40539285240345846,0.0015320929316736034,0.43135422468185425,0.616712000919506,0.4274873931730031,2.5,0.3470790684223175,0.5256573557853699
fewshot,patchcore-coreset,carpet,5,2,0.9414125200642054,0.9834757401360588,0.9828248718842129,0.568079603237127,0.8308120983785906,0.5760504076652979,0.40454410097537785,0.006811773680357875,0.44952458143234253,0.4024640002171509,0.3397974280668343,0.25,0.39317116141319275,0.5405910611152649
fewshot,prototype-only,carpet,5,2,0.9763242375601925,0.9935402430986752,0.9878382688181847,0.6203820157195308,0.8149682928753389,0.5991234374359986,0.4276775366556443,0.0013281647601245303,8.46567153930664,1812.853854993591,1.0140612560998983,0.1259765625,5.767649173736572,10.919517517089844
fewshot,ppm-ad-full,carpet,5,2,0.9735152487961477,0.9927431579965337,0.9870701489968431,0.5869277376919646,0.8332301863228813,0.5747954607277622,0.40330734634151116,0.004854798093407405,7.722443580627441,1606.3327320007375,2.2778157435201356,0.1259765625,5.213527679443359,9.903876304626465
